1,{0: ['climate advocate']}
2,"{0: ['inventor', 'engineer']}"
3,{0: ['president-elect of afghanistan']}
4,{0: ['aircraft engineer']}
5,{0: ['car designer']}
6,"{0: ['biologist', 'genetics pioneer']}"
7,{0: ['technology columnist']}
8,"{0: ['architect', 'experience designer']}"
9,{0: ['inventor']}
10,"{0: ['physician', 'author']}"
11,"{0: ['primatologist', 'environmentalist']}"
12,{0: ['neuroscience and cancer researcher']}
13,{0: ['architect']}
14,{0: ['experimental audio-visual artist']}
16,"{0: ['anthropologist', 'expert on love']}"
18,"{0: ['science writer', 'innovation consultant', 'conservationist']}"
19,{0: ['digital visionary']}
20,{0: ['writer']}
21,"{0: ['blogger; cofounder', 'six apart']}"
22,{0: ['skeptic']}
23,"{0: ['musician', 'activist']}"
25,{0: ['education visionary']}
26,"{0: ['performance poet', 'multimedia artist']}"
27,{0: ['industrial designer']}
28,{0: ['marketer and author']}
29,{0: ['economist']}
30,{0: ['economist']}
31,{0: ['architect']}
32,{0: ['artist']}
33,{0: ['military strategist']}
34,{0: ['photographer']}
35,"{0: ['biologist', 'nobel laureate']}"
36,{0: ['author']}
37,{0: ['founder of wikipedia']}
38,"{0: ['inventor', 'futurist']}"
39,{0: ['crusader against aging']}
40,{0: ['nature photographer']}
41,{0: ['tech visionary']}
42,{0: ['astrophysicist']}
43,"{0: ['designer; creative director', 'ideo']}"
44,{0: ['philosopher']}
45,{0: ['violinist']}
46,"{0: ['pianist', 'composer']}"
47,"{0: ['physicist', 'author']}"
48,{0: ['inventor']}
49,{0: ['architect']}
50,{0: ['graphic designer']}
51,"{0: ['physicist', 'energy guru']}"
53,{0: ['activist for environmental justice']}
54,"{0: ['co-founder', 'architecture for humanity']}"
55,{0: ['filmmaker']}
56,{0: ['photographer']}
57,{0: ['biomedical inventor']}
58,"{0: ['epidemiologist', 'philanthropist']}"
59,"{0: ['musician', 'activist']}"
60,"{0: ['actor', 'playwright', 'social critic']}"
61,{0: ['writer']}
62,{0: ['global prioritizer']}
63,{0: ['innovation consultant']}
64,"{0: ['playwright', 'activist']}"
65,{0: ['human-computer interface designer']}
66,"{0: ['author', 'educator']}"
67,{0: ['mathematician; statistician']}
68,"{0: ['journalist', 'philosopher']}"
69,"{0: ['anthropologist', 'ethnobotanist']}"
70,"{0: ['marketer', 'success analyst']}"
71,"{0: ['pastor', 'author']}"
72,{0: ['drone maker']}
73,"{0: ['writer', 'thinker', 'activist']}"
74,{0: ['planetary futurist']}
75,{0: ['nonprofit venture capitalist']}
76,{0: ['primate authority']}
77,"{0: ['biologist', 'biomechanics researcher']}"
78,{0: ['master of visual illusions']}
79,"{0: ['founder', 'grameenphone']}"
80,"{0: ['author', 'academic', 'futurist']}"
81,"{0: ['singer', 'performance artist']}"
82,{0: ['inventor']}
83,{0: ['biologist']}
84,{0: ['photojournalist']}
85,{0: ['activist']}
86,"{0: ['actor', 'comedian', 'playwright']}"
87,{0: ['web humorist']}
89,{0: ['polar explorer']}
90,"{0: ['physicist', 'personal fab pioneer']}"
91,{0: ['investor and advocate for moral leadership']}
92,{0: ['global health expert; data visionary']}
93,{0: ['psychologist']}
94,"{0: ['philosopher', 'cognitive scientist']}"
97,{0: ['psychologist; happiness expert']}
98,{0: ['evolutionary biologist']}
99,{0: ['singer/songwriter']}
101,{0: ['cellist; singer-songwriter']}
102,"{0: ['philosopher', 'cognitive scientist']}"
103,{0: ['musician']}
104,{0: ['architect']}
105,{0: ['online commerce pioneer']}
108,"{0: ['performance poet', 'multimedia artist']}"
109,"{0: ['singer/songwriter'], 1: ['electronic music pioneer']}"
110,"{0: ['singer/songwriter'], 1: ['electronic music pioneer']}"
112,{0: ['priest']}
113,{0: ['evolutionary biologist']}
114,{0: ['satirist']}
115,"{0: ['musician'], 1: ['electronic music pioneer']}"
116,"{0: ['philosopher', 'cognitive scientist']}"
117,"{0: ['fiddler'], 1: ['electronic music pioneer']}"
118,"{0: ['computer scientist', 'entrepreneur and philanthropist'], 1: ['ceo of google']}"
119,{0: ['singer/songwriter']}
121,{0: ['social critic']}
122,"{0: ['designer', 'educator']}"
123,"{0: ['environmentalist', 'futurist']}"
125,"{0: ['computer designer', 'brain researcher']}"
126,{0: ['marine biologist']}
127,{0: ['economist']}
128,{0: ['venture capitalist']}
129,{0: ['software architect']}
130,{0: ['buddhist scholar']}
131,"{0: ['technologist', 'digital product designer']}"
139,"{0: [""general manager of microsoft's virtual earth""]}"
140,{0: ['global health expert; data visionary']}
141,"{0: ['explorer', 'inventor', 'outer space dreamer']}"
142,{0: ['medical futurist']}
143,{0: ['economist']}
144,"{0: ['artist', 'storyteller', 'internet anthropologist']}"
145,{0: ['ecologist']}
146,{0: ['game designer']}
147,{0: ['medical animator']}
148,"{0: ['performance poet', 'multimedia artist']}"
149,{0: ['marketing expert']}
151,{0: ['economist']}
152,{0: ['economist']}
153,{0: ['inventor']}
154,{0: ['investment banker']}
155,"{0: ['novelist', 'poet']}"
156,{0: ['university founder']}
157,{0: ['investor and advocate for moral leadership']}
158,"{0: ['musician', 'activist']}"
159,{0: ['journalist']}
161,{0: ['dictionary editor']}
162,{0: ['artist']}
163,{0: ['psychologist']}
164,{0: ['psychologist']}
165,{0: ['roboticist']}
167,{0: ['technology forecaster']}
168,{0: ['paleoanthropologist']}
170,{0: ['producer']}
171,{0: ['filmmaker']}
172,{0: ['artist']}
174,{0: ['architect']}
175,{0: ['education researcher']}
176,{0: ['engineer']}
177,"{0: ['epidemiologist', 'philanthropist']}"
178,{0: ['planetary scientist']}
179,{0: ['dancer']}
181,{0: ['entrepreneur']}
182,"{0: ['illustrator', 'author']}"
183,{0: ['dna origamist']}
184,{0: ['brain expert']}
185,{0: ['economist']}
187,{0: ['legal activist']}
188,{0: ['guitarist']}
189,{0: ['doctor']}
190,{0: ['user anthropologist']}
191,"{0: ['monk', 'author', 'photographer']}"
192,{0: ['environmental scientist']}
193,"{0: ['author', 'academic', 'futurist']}"
194,{0: ['physicist']}
195,{0: ['biologist']}
196,{0: ['technology columnist']}
197,{0: ['designer']}
198,{0: ['mathematician']}
199,{0: ['mathemagician']}
200,{0: ['psychologist']}
201,{0: ['connector']}
202,{0: ['tinkerer']}
203,{0: ['investor']}
204,{0: ['novelist']}
205,{0: ['filmmaker']}
206,{0: ['oceanographer']}
207,{0: ['curator of architecture and design']}
208,{0: ['college president']}
209,{0: ['social innovator']}
210,{0: ['artist']}
211,{0: ['head of ted']}
212,{0: ['transport networker']}
213,{0: ['city evangelist']}
214,{0: ['environmental writer']}
215,{0: ['illustrator']}
216,{0: ['digital community builder']}
217,"{0: ['playwright', 'activist']}"
218,{0: ['theremin player']}
219,{0: ['architect']}
220,{0: ['kenyan mp']}
221,{0: ['historian of science']}
222,"{0: ['singer/songwriter'], 1: ['actor', 'comedian', 'playwright']}"
223,{0: ['jugglers']}
224,"{0: ['researcher'], 1: ['astronomer']}"
225,{0: ['venture capitalist']}
227,"{0: ['biologist', 'genetics pioneer']}"
228,{0: ['educator and computing pioneer']}
229,{0: ['neuroanatomist']}
230,{0: ['tech visionary']}
231,{0: ['architect']}
232,"{0: ['physicist', 'education activist']}"
233,"{0: ['author', 'publisher', 'education activist']}"
234,{0: ['religious scholar']}
235,{0: ['illustrator']}
236,{0: ['brain researcher']}
237,"{0: ['astronomer', 'educator', 'skeptic']}"
239,{0: ['filmmaker']}
241,{0: ['designer']}
242,{0: ['theoretical physicist']}
243,{0: ['climate advocate']}
245,{0: ['human-computer interaction researcher']}
246,"{0: ['composer', 'inventor'], 1: ['musician']}"
247,{0: ['legal expert']}
248,"{0: ['ceo', 'public radio international (pri)']}"
249,{0: ['cardiologist']}
250,{0: ['novelist']}
251,{0: ['physicist']}
252,"{0: ['physician', 'author']}"
253,{0: ['physicist']}
254,{0: ['band']}
255,{0: ['ceo']}
258,{0: ['mycologist']}
259,{0: ['evolutionary biologist']}
260,{0: ['juggler']}
261,{0: ['hacker']}
263,{0: ['food writer']}
264,{0: ['oceanographer']}
266,{0: ['designer']}
267,{0: ['sculptor']}
268,{0: ['doctor']}
269,{0: ['memeticist']}
270,{0: ['economist']}
271,{0: ['polymath']}
272,{0: ['psychologist']}
273,"{0: ['anthropologist', 'ethnobotanist']}"
274,{0: ['social media theorist']}
276,{0: ['physicist']}
278,{0: ['historian of science']}
279,{0: ['artist']}
280,{0: ['biologist']}
282,{0: ['filmmaker']}
285,{0: ['venture capitalist']}
286,{0: ['conductor']}
287,{0: ['singer/songwriter']}
288,{0: ['tech visionary']}
292,{0: ['space activist']}
294,"{0: ['novelist', 'poet']}"
296,{0: ['singer/songwriter']}
297,{0: ['photographer']}
298,{0: ['guitarist']}
299,{0: ['botanist and activist']}
300,{0: ['animating neurobiologist']}
301,{0: ['author']}
306,{0: ['physicist']}
307,"{0: ['anthropologist', 'expert on love']}"
308,{0: ['preacher']}
310,{0: ['magician']}
312,{0: ['psychologist']}
313,"{0: ['craft artist', 'product designer']}"
315,{0: ['paleoanthropologist']}
316,"{0: ['artist', 'storyteller', 'internet anthropologist']}"
318,{0: ['architecture critic']}
319,{0: ['digital visionary']}
320,{0: ['bioengineer']}
321,{0: ['origamist']}
322,"{0: ['engineer and origamist'], 1: ['cellist']}"
323,{0: ['genographer']}
324,"{0: ['director of photography', 'national geographic']}"
325,{0: ['singer/songwriter']}
326,{0: ['particle physicist']}
327,{0: ['close-up card magician']}
328,{0: ['animal behaviorist']}
329,{0: ['musician and inventor']}
330,{0: ['blogger and activist']}
331,{0: ['dna origamist']}
333,{0: ['educator']}
334,{0: ['african grey parrot']}
335,{0: ['space activist']}
339,"{0: ['entrepreneur', 'marketer']}"
340,"{0: ['primatologist', 'environmentalist']}"
341,{0: ['social psychologist']}
343,{0: ['oceanographer']}
344,"{0: ['physician', 'disaster-preparedness activist']}"
345,{0: ['traveler']}
346,{0: ['digital librarian']}
347,{0: ['storyteller']}
348,{0: ['lunch lady']}
349,"{0: ['counselor', 'coach and baker']}"
350,{0: ['toy designer']}
351,{0: ['ai pioneer']}
353,{0: ['angel investor']}
354,{0: ['psychologist']}
355,{0: ['roboticist']}
356,{0: ['graphic designer']}
358,{0: ['constitutional law scholar']}
359,{0: ['designer']}
360,{0: ['photojournalist']}
361,{0: ['game designer']}
